CUSTOMER ID,CUSTOMER NAME,MOVIE TITLE,RENT DATE,RETURN DATE,RENTAL PERIOD,RETURN STATUS
CUST1,MUTHU,Iron Man,14/1/2025,16/1/2025,2,On Time
CUST2,ALI,Tombiruo,14/1/2025,16/1/2025,6,On Time
CUST2,ALI,Inception,14/1/2025,14/1/2025,5,On Time
CUST5,ARIEFF,Iron Man,16/1/2025,16/1/2025,2,On Time
CUST3,ABU,Iron Man,16/1/2025,16/1/2025,3,On Time
CUST6,WERT,Iron Man,16/1/2025,16/1/2025,3,On Time
CUST5,ARIEFF,Inception,16/1/2025,16/1/2025,4,On Time
CUST2,ALI,Inception,16/1/2025,,4
CUST1,MUTHU,Tombiruo,16/1/2025,,3
CUST4,ABU,Skyfall,16/1/2025,16/1/2025,4,On Time
CUST5,ARIEFF,Skyfall,16/1/2025,,3
CUST7,ESRGDTHFY,Skyfall,16/1/2025,,1
CUST2,ALI,Iron Man,16/1/2025,16/1/2025,3,On Time
CUST4,ABU,Avatar,16/1/2025,16/1/2025,3,On Time
CUST2,ALI,Avatar,16/1/2025,16/1/2025,1,On Time
